candidate id,candidate name,father,group,other,test id,test,verbal ability,current affairs,total,test rank,group rank,percentage
7,,,,,114,civil service 2018,10,6,16,89,0,5
7,,,,,114,civil service 2018,40,20,60,61,0,18.75
7,,,,,114,civil service 2018,-10,35,25,86,0,7.812
7,,,,,114,civil service 2018,55,70,125,16,0,39.062
7,,,,,114,civil service 2018,-10,5,-5,92,0,0
7,,,,,114,civil service 2018,5,50,55,66,0,17.188
7,,,,,114,civil service 2018,58,92,150,7,0,46.875
7,,,,,114,civil service 2018,30,50,80,45,0,25
7,,,,,114,civil service 2018,24,24,48,72,0,15
7,,,,,114,civil service 2018,30,31,61,60,0,19.062
7,,,,,114,civil service 2018,10,37,47,73,0,14.688
7,,,,,114,civil service 2018,35,40,75,49,0,23.438
7,,,,,114,civil service 2018,50,40,90,39,0,28.125
7,STUDENT,FATHER,B1,9229113577,114,civil service 2018,40,72,112,24,0,35
7,,,,,114,civil service 2018,26,46,72,51,0,22.5
7,,,,,114,civil service 2018,45,61,106,27,0,33.125
7,,,,,114,civil service 2018,50,50,100,31,0,31.25
7,,,,,114,civil service 2018,40,85,125,16,0,39.062
7,,,,,114,civil service 2018,30,40,70,52,0,21.875
7,,,,,114,civil service 2018,20,45,65,56,0,20.312
7,,,,,114,civil service 2018,20,35,55,66,0,17.188
7,,,,,114,civil service 2018,25,48,73,50,0,22.812
7,,,,,114,civil service 2018,58,39,97,32,0,30.312
7,,,,,114,civil service 2018,62,32,94,35,0,29.375
7,,,,,114,civil service 2018,-5,30,25,86,0,7.812
7,,,,,114,civil service 2018,2,-2,0,91,0,0
7,,,,,114,civil service 2018,30,25,55,66,0,17.188
7,,,,,114,civil service 2018,10,30,40,79,0,12.5
7,,,,,114,civil service 2018,40,55,95,34,0,29.688
7,,,,,114,civil service 2018,29,14,43,76,0,13.438
7,,,,,114,civil service 2018,43,65,108,26,0,33.75
7,,,,,114,civil service 2018,30,29,59,62,0,18.438
7,,,,,114,civil service 2018,30,72,102,30,0,31.875
7,,,,,114,civil service 2018,52,71,123,17,0,38.438
7,,,,,114,civil service 2018,20,100,120,18,0,37.5
7,,,,,114,civil service 2018,-5,50,45,75,0,14.062
7,,,,,114,civil service 2018,58,72,130,15,0,40.625
7,,,,,114,civil service 2018,25,36,61,60,0,19.062
7,,,,,114,civil service 2018,43,47,90,39,0,28.125
7,,,,,114,civil service 2018,55,-16,39,80,0,12.188
7,,,,,114,civil service 2018,18,3,21,87,0,6.562
7,,,,,114,civil service 2018,35,35,70,52,0,21.875
7,,,,,114,civil service 2018,20,40,60,61,0,18.75
7,,,,,114,civil service 2018,45,65,110,25,0,34.375
7,,,,,114,civil service 2018,25,20,45,75,0,14.062
7,,,,,114,civil service 2018,30,30,60,61,0,18.75
7,,,,,114,civil service 2018,35,60,95,34,0,29.688
7,,,,,114,civil service 2018,12,31,43,76,0,13.438
7,,,,,114,civil service 2018,35,40,75,49,0,23.438
7,,,,,114,civil service 2018,35,40,75,49,0,23.438
7,,,,,114,civil service 2018,30,-4,26,85,0,8.125
7,,,,,114,civil service 2018,0,25,25,86,0,7.812
7,,,,,114,civil service 2018,8,47,55,66,0,17.188
7,,,,,114,civil service 2018,10,10,20,88,0,6.25
7,,,,,114,civil service 2018,47,30,77,47,0,24.062
7,,,,,114,civil service 2018,25,40,65,56,0,20.312
7,,,,,114,civil service 2018,20,35,55,66,0,17.188
7,,,,,114,civil service 2018,16,37,53,68,0,16.562
7,,,,,114,civil service 2018,31,17,48,72,0,15
7,,,,,114,civil service 2018,25,-5,20,88,0,6.25
7,,,,,114,civil service 2018,28,86,114,22,0,35.625
7,,,,,114,civil service 2018,54,89,143,8,0,44.688
7,,,,,114,civil service 2018,10,36,46,74,0,14.375
7,,,,,114,civil service 2018,27,32,59,62,0,18.438
7,,,,,114,civil service 2018,10,16,26,85,0,8.125
7,,,,,114,civil service 2018,25,15,40,79,0,12.5
7,,,,,114,civil service 2018,20,35,55,66,0,17.188
7,,,,,114,civil service 2018,30,70,100,31,0,31.25
7,,,,,114,civil service 2018,27,75,102,30,0,31.875
7,,,,,114,civil service 2018,70,115,185,1,0,57.812
7,,,,,114,civil service 2018,54,43,97,32,0,30.312
7,,,,,114,civil service 2018,56,100,156,3,0,48.75
7,,,,,114,civil service 2018,16,-1,15,90,0,4.688
7,,,,,114,civil service 2018,28,32,60,61,0,18.75
7,,,,,114,civil service 2018,40,50,90,39,0,28.125
7,,,,,114,civil service 2018,37,38,75,49,0,23.438
7,,,,,114,civil service 2018,20,50,70,52,0,21.875
7,,,,,114,civil service 2018,22,47,69,53,0,21.562
7,,,,,114,civil service 2018,-15,15,0,91,0,0
